PostgreSQL	order_items	Registra cada ítem (producto) dentro de un pedido. Un pedido puede contener múltiples ítems. Materializa la relación N:M entre pedidos, productos y vendedores. PK compuesta por (order_id, order_item_id).	order_item_id	SMALLINT	2 bytes	Número secuencial del ítem dentro del pedido (1, 2, 3…). Máximo observado: 21.	PK (parte 2) · NOT NULL · CHECK (> 0)
PostgreSQL	order_items	Registra cada ítem (producto) dentro de un pedido. Un pedido puede contener múltiples ítems. Materializa la relación N:M entre pedidos, productos y vendedores. PK compuesta por (order_id, order_item_id).	product_id	UUID	36	Referencia al producto vendido en este ítem.	NOT NULL · FK → products(product_id) ON DELETE RESTRICT
PostgreSQL	order_items	Registra cada ítem (producto) dentro de un pedido. Un pedido puede contener múltiples ítems. Materializa la relación N:M entre pedidos, productos y vendedores. PK compuesta por (order_id, order_item_id).	seller_id	UUID	36	Referencia al vendedor que gestiona este ítem del pedido.	NOT NULL · FK → sellers(seller_id) ON DELETE RESTRICT
PostgreSQL	order_items	Registra cada ítem (producto) dentro de un pedido. Un pedido puede contener múltiples ítems. Materializa la relación N:M entre pedidos, productos y vendedores. PK compuesta por (order_id, order_item_id).	shipping_limit_date	TIMESTAMPTZ	8 bytes	Fecha límite para que el vendedor despache el ítem al transportista.	NOT NULL
PostgreSQL	order_items	Registra cada ítem (producto) dentro de un pedido. Un pedido puede contener múltiples ítems. Materializa la relación N:M entre pedidos, productos y vendedores. PK compuesta por (order_id, order_item_id).	price	NUMERIC	10,2	Precio unitario del ítem en reales brasileños (BRL) al momento de la compra.	NOT NULL · CHECK (>= 0)
PostgreSQL	order_items	Registra cada ítem (producto) dentro de un pedido. Un pedido puede contener múltiples ítems. Materializa la relación N:M entre pedidos, productos y vendedores. PK compuesta por (order_id, order_item_id).	freight_value	NUMERIC	10,2	Valor del flete cobrado por este ítem específico en BRL.	NOT NULL · CHECK (>= 0)
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
PostgreSQL	order_payments	Registra cada pago asociado a un pedido. Un pedido puede tener múltiples registros de pago por uso de métodos mixtos (ej: tarjeta + voucher) o pagos en cuotas secuenciales. Corrige la violación de 1FN de payment_type_list.	—	—	—	Encabezado de tabla	—
PostgreSQL	order_payments	Registra cada pago asociado a un pedido. Un pedido puede tener múltiples registros de pago por uso de métodos mixtos (ej: tarjeta + voucher) o pagos en cuotas secuenciales. Corrige la violación de 1FN de payment_type_list.	order_id	UUID	36	Identificador del pedido al que pertenece el pago. Parte de la PK compuesta.	PK (parte 1) · NOT NULL · FK → orders(order_id) ON DELETE RESTRICT
PostgreSQL	order_payments	Registra cada pago asociado a un pedido. Un pedido puede tener múltiples registros de pago por uso de métodos mixtos (ej: tarjeta + voucher) o pagos en cuotas secuenciales. Corrige la violación de 1FN de payment_type_list.	payment_sequential	SMALLINT	2 bytes	Número secuencial del pago dentro del pedido (1, 2, 3…). Permite múltiples pagos por orden.	PK (parte 2) · NOT NULL · CHECK (>= 1)
PostgreSQL	order_payments	Registra cada pago asociado a un pedido. Un pedido puede tener múltiples registros de pago por uso de métodos mixtos (ej: tarjeta + voucher) o pagos en cuotas secuenciales. Corrige la violación de 1FN de payment_type_list.	payment_type	VARCHAR	15	Método de pago utilizado para esta transacción.	NOT NULL · CHECK IN ('credit_card','debit_card','boleto','voucher','not_defined')
PostgreSQL	order_payments	Registra cada pago asociado a un pedido. Un pedido puede tener múltiples registros de pago por uso de métodos mixtos (ej: tarjeta + voucher) o pagos en cuotas secuenciales. Corrige la violación de 1FN de payment_type_list.	payment_installments	SMALLINT	2 bytes	Número de cuotas en que se divide el pago. Valor mínimo: 1 (pago único).	NOT NULL · CHECK (>= 1)
PostgreSQL	order_payments	Registra cada pago asociado a un pedido. Un pedido puede tener múltiples registros de pago por uso de métodos mixtos (ej: tarjeta + voucher) o pagos en cuotas secuenciales. Corrige la violación de 1FN de payment_type_list.	payment_value	NUMERIC	10,2	Monto total de este pago en BRL. La suma de todos los pagos del pedido = valor total de la orden.	NOT NULL · CHECK (> 0)
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
PostgreSQL	order_reviews	Almacena las evaluaciones y comentarios realizados por los clientes sobre sus pedidos. Un pedido puede tener múltiples reseñas aunque el 96.8% tiene exactamente una. Campos de texto libre son opcionales.	—	—	—	Encabezado de tabla	—
PostgreSQL	order_reviews	Almacena las evaluaciones y comentarios realizados por los clientes sobre sus pedidos. Un pedido puede tener múltiples reseñas aunque el 96.8% tiene exactamente una. Campos de texto libre son opcionales.	review_id	UUID	36	Identificador único de la reseña.	PK · NOT NULL · DEFAULT gen_random_uuid()
PostgreSQL	order_reviews	Almacena las evaluaciones y comentarios realizados por los clientes sobre sus pedidos. Un pedido puede tener múltiples reseñas aunque el 96.8% tiene exactamente una. Campos de texto libre son opcionales.	order_id	UUID	36	Referencia al pedido evaluado por esta reseña.	NOT NULL · FK → orders(order_id) ON DELETE RESTRICT
PostgreSQL	order_reviews	Almacena las evaluaciones y comentarios realizados por los clientes sobre sus pedidos. Un pedido puede tener múltiples reseñas aunque el 96.8% tiene exactamente una. Campos de texto libre son opcionales.	review_score	SMALLINT	2 bytes	Puntuación otorgada por el cliente. Escala: 1 (muy malo) a 5 (excelente).	NOT NULL · CHECK BETWEEN 1 AND 5
PostgreSQL	order_reviews	Almacena las evaluaciones y comentarios realizados por los clientes sobre sus pedidos. Un pedido puede tener múltiples reseñas aunque el 96.8% tiene exactamente una. Campos de texto libre son opcionales.	review_comment_title	VARCHAR	255	Título opcional del comentario escrito por el cliente.	NULL permitido
PostgreSQL	order_reviews	Almacena las evaluaciones y comentarios realizados por los clientes sobre sus pedidos. Un pedido puede tener múltiples reseñas aunque el 96.8% tiene exactamente una. Campos de texto libre son opcionales.	review_comment_message	TEXT	Variable	Cuerpo del comentario escrito por el cliente. Campo opcional: 41.1% de registros no tienen comentario.	NULL permitido · Almacenamiento TOAST para textos largos
PostgreSQL	order_reviews	Almacena las evaluaciones y comentarios realizados por los clientes sobre sus pedidos. Un pedido puede tener múltiples reseñas aunque el 96.8% tiene exactamente una. Campos de texto libre son opcionales.	review_creation_date	TIMESTAMPTZ	8 bytes	Fecha y hora en que el cliente envió la reseña.	NOT NULL
PostgreSQL	order_reviews	Almacena las evaluaciones y comentarios realizados por los clientes sobre sus pedidos. Un pedido puede tener múltiples reseñas aunque el 96.8% tiene exactamente una. Campos de texto libre son opcionales.	review_answer_timestamp	TIMESTAMPTZ	8 bytes	Fecha y hora en que el vendedor respondió la reseña (si aplica).	NULL permitido
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	—	—	—	Encabezado de tabla	—
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	product_id	UUID	36	Identificador único del producto en el catálogo.	PK · NOT NULL · DEFAULT gen_random_uuid()
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	product_category_name	VARCHAR	100	Nombre de la categoría del producto en portugués. Clave foránea hacia tabla de traducciones.	NULL permitido (0.83% nulos) · FK → product_category_name_translation(product_category_name) ON DELETE SET NULL
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	product_name_length	INTEGER	4 bytes	Cantidad de caracteres en el nombre del producto. Proxy para medir calidad del listado.	NULL permitido
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	product_description_length	INTEGER	4 bytes	Cantidad de caracteres en la descripción del producto.	NULL permitido
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	product_photos_qty	SMALLINT	2 bytes	Número de fotos publicadas del producto. Indicador de calidad del listado.	NULL permitido · CHECK (>= 0)
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	product_weight_g	INTEGER	4 bytes	Peso del producto en gramos. Utilizado para calcular flete.	NULL permitido · CHECK (> 0)
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	product_length_cm	NUMERIC	6,2	Largo del producto en centímetros para cálculo de volumen y flete.	NULL permitido · CHECK (> 0)
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	product_height_cm	NUMERIC	6,2	Alto del producto en centímetros.	NULL permitido · CHECK (> 0)
PostgreSQL	products	Catálogo maestro de productos disponibles en la plataforma. Contiene atributos físicos y de contenido de cada producto. Referenciado por order_items. Tratamiento mixto: dato maestro en PG, proyección de lectura en MongoDB.	product_width_cm	NUMERIC	6,2	Ancho del producto en centímetros.	NULL permitido · CHECK (> 0)
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
PostgreSQL	sellers	Registra la información de los vendedores registrados en la plataforma Olist. Un vendedor puede vender múltiples productos en múltiples pedidos. El 59.6% de los vendedores está concentrado en el estado de São Paulo.	—	—	—	Encabezado de tabla	—
PostgreSQL	sellers	Registra la información de los vendedores registrados en la plataforma Olist. Un vendedor puede vender múltiples productos en múltiples pedidos. El 59.6% de los vendedores está concentrado en el estado de São Paulo.	seller_id	UUID	36	Identificador único del vendedor en la plataforma.	PK · NOT NULL · DEFAULT gen_random_uuid()
PostgreSQL	sellers	Registra la información de los vendedores registrados en la plataforma Olist. Un vendedor puede vender múltiples productos en múltiples pedidos. El 59.6% de los vendedores está concentrado en el estado de São Paulo.	seller_zip_code_prefix	INTEGER	8 dígitos	Prefijo del código postal del vendedor. Permite geolocalizar la ubicación del vendedor.	NOT NULL · FK → geolocation(zip_code_prefix)
PostgreSQL	sellers	Registra la información de los vendedores registrados en la plataforma Olist. Un vendedor puede vender múltiples productos en múltiples pedidos. El 59.6% de los vendedores está concentrado en el estado de São Paulo.	seller_city	VARCHAR	60	Ciudad del vendedor derivada del código postal.	NULL permitido
PostgreSQL	sellers	Registra la información de los vendedores registrados en la plataforma Olist. Un vendedor puede vender múltiples productos en múltiples pedidos. El 59.6% de los vendedores está concentrado en el estado de São Paulo.	seller_state	CHAR	2	Código ISO del estado brasileño del vendedor (ej: SP, RJ, MG).	NOT NULL · CHECK (2 caracteres)
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
PostgreSQL	geolocation	Tabla de referencia geográfica que mapea prefijos de código postal a coordenadas geográficas y localidades. Contiene más de 1 millón de registros. Implementada como vista materializada en PG para deduplica por zip_code_prefix.	—	—	—	Encabezado de tabla	—
PostgreSQL	geolocation	Tabla de referencia geográfica que mapea prefijos de código postal a coordenadas geográficas y localidades. Contiene más de 1 millón de registros. Implementada como vista materializada en PG para deduplica por zip_code_prefix.	zip_code_prefix	INTEGER	8 dígitos	Prefijo del código postal (5 primeros dígitos del CEP brasileño). Clave de la tabla de referencia.	PK · NOT NULL
PostgreSQL	geolocation	Tabla de referencia geográfica que mapea prefijos de código postal a coordenadas geográficas y localidades. Contiene más de 1 millón de registros. Implementada como vista materializada en PG para deduplica por zip_code_prefix.	geolocation_lat	DOUBLE PRECISION	8 bytes	Latitud geográfica del centroide del código postal. Precisión ~1 metro.	NOT NULL · CHECK BETWEEN -33.75 AND 5.27
PostgreSQL	geolocation	Tabla de referencia geográfica que mapea prefijos de código postal a coordenadas geográficas y localidades. Contiene más de 1 millón de registros. Implementada como vista materializada en PG para deduplica por zip_code_prefix.	geolocation_lng	DOUBLE PRECISION	8 bytes	Longitud geográfica del centroide del código postal.	NOT NULL · CHECK BETWEEN -73.99 AND -34.73
PostgreSQL	geolocation	Tabla de referencia geográfica que mapea prefijos de código postal a coordenadas geográficas y localidades. Contiene más de 1 millón de registros. Implementada como vista materializada en PG para deduplica por zip_code_prefix.	geolocation_city	VARCHAR	60	Nombre de la ciudad correspondiente al código postal.	NOT NULL
PostgreSQL	geolocation	Tabla de referencia geográfica que mapea prefijos de código postal a coordenadas geográficas y localidades. Contiene más de 1 millón de registros. Implementada como vista materializada en PG para deduplica por zip_code_prefix.	geolocation_state	CHAR	2	Código ISO del estado brasileño correspondiente al código postal.	NOT NULL · CHECK (2 caracteres)
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
PostgreSQL	product_category_name_translation	Tabla de traducción que mapea los nombres de categorías de productos del portugués al inglés. Tabla de dimensión pequeña con 71 registros. Elimina la dependencia transitiva de la categoría en inglés sobre la tabla products.	—	—	—	Encabezado de tabla	—
PostgreSQL	product_category_name_translation	Tabla de traducción que mapea los nombres de categorías de productos del portugués al inglés. Tabla de dimensión pequeña con 71 registros. Elimina la dependencia transitiva de la categoría en inglés sobre la tabla products.	product_category_name	VARCHAR	100	Nombre de la categoría en portugués. Clave primaria de la tabla de traducción.	PK · NOT NULL
PostgreSQL	product_category_name_translation	Tabla de traducción que mapea los nombres de categorías de productos del portugués al inglés. Tabla de dimensión pequeña con 71 registros. Elimina la dependencia transitiva de la categoría en inglés sobre la tabla products.	product_category_name_english	VARCHAR	100	Traducción del nombre de la categoría al inglés.	NOT NULL
							
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
MongoDB	reviews	Colección de reseñas y evaluaciones de clientes sobre sus pedidos. Usa esquema flexible de MongoDB para gestionar el 41.1% de nulos en comentarios sin penalización de espacio. Sin FK nativa: referencia lógica a order_id de PostgreSQL.	—	—	—	Encabezado de tabla	—
MongoDB	reviews	Colección de reseñas y evaluaciones de clientes sobre sus pedidos. Usa esquema flexible de MongoDB para gestionar el 41.1% de nulos en comentarios sin penalización de espacio. Sin FK nativa: referencia lógica a order_id de PostgreSQL.	_id	ObjectId	24 bytes	Identificador único generado automáticamente por MongoDB al insertar el documento.	Índice único automático · Generado por MongoDB
MongoDB	reviews	Colección de reseñas y evaluaciones de clientes sobre sus pedidos. Usa esquema flexible de MongoDB para gestionar el 41.1% de nulos en comentarios sin penalización de espacio. Sin FK nativa: referencia lógica a order_id de PostgreSQL.	review_id	String	36	UUID de la reseña. Mantiene compatibilidad con review_id de PostgreSQL.	NOT NULL · Índice único
MongoDB	reviews	Colección de reseñas y evaluaciones de clientes sobre sus pedidos. Usa esquema flexible de MongoDB para gestionar el 41.1% de nulos en comentarios sin penalización de espacio. Sin FK nativa: referencia lógica a order_id de PostgreSQL.	order_id	String	36	Referencia lógica (no FK) al order_id de PostgreSQL. Permite correlacionar reseña con pedido.	NOT NULL · Índice B-Tree
MongoDB	reviews	Colección de reseñas y evaluaciones de clientes sobre sus pedidos. Usa esquema flexible de MongoDB para gestionar el 41.1% de nulos en comentarios sin penalización de espacio. Sin FK nativa: referencia lógica a order_id de PostgreSQL.	review_score	Int32	4 bytes	Puntuación del cliente: 1 (muy malo) a 5 (excelente). Promedio global: 4.07.	NOT NULL · Rango 1-5
MongoDB	reviews	Colección de reseñas y evaluaciones de clientes sobre sus pedidos. Usa esquema flexible de MongoDB para gestionar el 41.1% de nulos en comentarios sin penalización de espacio. Sin FK nativa: referencia lógica a order_id de PostgreSQL.	review_comment_title	String	Variable	Título del comentario. Campo OPCIONAL: presente solo cuando el cliente lo escribe.	Campo opcional · Ausente en ~58% de documentos
MongoDB	reviews	Colección de reseñas y evaluaciones de clientes sobre sus pedidos. Usa esquema flexible de MongoDB para gestionar el 41.1% de nulos en comentarios sin penalización de espacio. Sin FK nativa: referencia lógica a order_id de PostgreSQL.	review_comment_message	String	Variable	Cuerpo del comentario. Campo OPCIONAL: ausente en el 41.1% de los documentos del dataset.	Campo opcional · Índice de texto completo
MongoDB	reviews	Colección de reseñas y evaluaciones de clientes sobre sus pedidos. Usa esquema flexible de MongoDB para gestionar el 41.1% de nulos en comentarios sin penalización de espacio. Sin FK nativa: referencia lógica a order_id de PostgreSQL.	review_creation_date	Date	8 bytes	Fecha y hora UTC de creación de la reseña.	NOT NULL
MongoDB	reviews	Colección de reseñas y evaluaciones de clientes sobre sus pedidos. Usa esquema flexible de MongoDB para gestionar el 41.1% de nulos en comentarios sin penalización de espacio. Sin FK nativa: referencia lógica a order_id de PostgreSQL.	review_answer_timestamp	Date	8 bytes	Fecha y hora UTC de respuesta del vendedor a la reseña.	Campo opcional
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
MongoDB	geolocation	Colección geoespacial que almacena coordenadas por código postal con índice 2dsphere nativo de MongoDB. Permite consultas de proximidad (near, geoWithin) sin necesidad de PostGIS. Cargada directamente desde CSV, independiente de PostgreSQL.	—	—	—	Encabezado de tabla	—
MongoDB	geolocation	Colección geoespacial que almacena coordenadas por código postal con índice 2dsphere nativo de MongoDB. Permite consultas de proximidad (near, geoWithin) sin necesidad de PostGIS. Cargada directamente desde CSV, independiente de PostgreSQL.	_id	ObjectId	24 bytes	Identificador único generado por MongoDB.	Índice único automático
MongoDB	geolocation	Colección geoespacial que almacena coordenadas por código postal con índice 2dsphere nativo de MongoDB. Permite consultas de proximidad (near, geoWithin) sin necesidad de PostGIS. Cargada directamente desde CSV, independiente de PostgreSQL.	zip_code_prefix	Int32	4 bytes	Prefijo del código postal. Campo de búsqueda principal para correlacionar con clientes y vendedores.	NOT NULL · Índice único
MongoDB	geolocation	Colección geoespacial que almacena coordenadas por código postal con índice 2dsphere nativo de MongoDB. Permite consultas de proximidad (near, geoWithin) sin necesidad de PostGIS. Cargada directamente desde CSV, independiente de PostgreSQL.	city	String	Variable	Nombre de la ciudad del código postal.	NOT NULL
MongoDB	geolocation	Colección geoespacial que almacena coordenadas por código postal con índice 2dsphere nativo de MongoDB. Permite consultas de proximidad (near, geoWithin) sin necesidad de PostGIS. Cargada directamente desde CSV, independiente de PostgreSQL.	state	String	2	Código ISO del estado brasileño.	NOT NULL
MongoDB	geolocation	Colección geoespacial que almacena coordenadas por código postal con índice 2dsphere nativo de MongoDB. Permite consultas de proximidad (near, geoWithin) sin necesidad de PostGIS. Cargada directamente desde CSV, independiente de PostgreSQL.	location	Object	Variable	Objeto GeoJSON de tipo Point requerido para el índice 2dsphere.	NOT NULL · Índice 2dsphere sobre este campo
MongoDB	geolocation	Colección geoespacial que almacena coordenadas por código postal con índice 2dsphere nativo de MongoDB. Permite consultas de proximidad (near, geoWithin) sin necesidad de PostGIS. Cargada directamente desde CSV, independiente de PostgreSQL.	location.type	String	'Point'	Tipo de geometría GeoJSON. Siempre 'Point' para coordenadas de un punto.	NOT NULL · Valor fijo: 'Point'
MongoDB	geolocation	Colección geoespacial que almacena coordenadas por código postal con índice 2dsphere nativo de MongoDB. Permite consultas de proximidad (near, geoWithin) sin necesidad de PostGIS. Cargada directamente desde CSV, independiente de PostgreSQL.	location.coordinates	Array	Variable	Array [longitud, latitud] en grados decimales. Orden GeoJSON: lng primero, lat segundo.	NOT NULL · [lng, lat] · CHECK rango Brasil
							
BASE DE DATOS	TABLA / COLECCIÓN	DESCRIPCIÓN TABLA	CAMPO	TIPO DE DATO	LONGITUD	DESCRIPCIÓN CAMPO	RESTRICCIONES / NOTAS
MongoDB	products_catalog	Proyección de lectura del catálogo de productos con esquema flexible para soportar atributos variables por categoría. La categoría se embebe como sub-documento eliminando el JOIN con la tabla de traducción. Alimentada por ETL desde PostgreSQL products.	—	—	—	Encabezado de tabla	—
MongoDB	products_catalog	Proyección de lectura del catálogo de productos con esquema flexible para soportar atributos variables por categoría. La categoría se embebe como sub-documento eliminando el JOIN con la tabla de traducción. Alimentada por ETL desde PostgreSQL products.	_id	String	36	UUID del producto. Igual al product_id de PostgreSQL para permitir correlación directa.	= products.product_id de PG · Índice único
MongoDB	products_catalog	Proyección de lectura del catálogo de productos con esquema flexible para soportar atributos variables por categoría. La categoría se embebe como sub-documento eliminando el JOIN con la tabla de traducción. Alimentada por ETL desde PostgreSQL products.	category	Object	Variable	Sub-documento embebido con la información de categoría. Elimina el JOIN con tabla de traducción.	NOT NULL
MongoDB	products_catalog	Proyección de lectura del catálogo de productos con esquema flexible para soportar atributos variables por categoría. La categoría se embebe como sub-documento eliminando el JOIN con la tabla de traducción. Alimentada por ETL desde PostgreSQL products.	category.name_pt	String	Variable	Nombre de la categoría en portugués (desnormalizado desde categories de PG).	NOT NULL
MongoDB	products_catalog	Proyección de lectura del catálogo de productos con esquema flexible para soportar atributos variables por categoría. La categoría se embebe como sub-documento eliminando el JOIN con la tabla de traducción. Alimentada por ETL desde PostgreSQL products.	category.name_en	String	Variable	Nombre de la categoría en inglés (desnormalizado desde categories de PG).	NOT NULL
